customer_id,full_name,email,phone,city,created_at,created_at_clean,error_reason,order_id,product_id,quantity,unit_price,currency,order_timestamp,status,order_timestamp_clean,payment_id,payment_method,amount,payment_timestamp,amount_clean,payment_timestamp_clean,event_id,event_type,event_timestamp,event_timestamp_clean,product_name,category,price,is_active,price_clean
67,Роман Дмитриевич Якушев,kapiton28@kordiant.edu,,клх Ирбит,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
70,Герман Викторович Гусев,germankabanov@zao.com,8 (972) 724-95-58,п. Кыштым,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
139,Лора Ильинична Голубева,gusevaelizaveta@rao.net,8 (905) 325-60-86,г. Верещагино (Перм.),32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
166,Владимир Викентьевич Данилов,ipat_77@gureva.ru,8 (997) 822-70-67,г. Стерлитамак,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
233,Лукия Олеговна Суворова,belozerovartemi@es.edu,UNKNOWN,с. Клин,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
326,Сила Тимурович Смирнов,danila71@hotmail.com,9161669421,г. Волгоград,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
338,Дмитриева Елена Валериевна,romanovgostomisl@rambler.ru,8 (921) 687-65-60,с. Каргополь,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
394,Маргарита Тимуровна Зыкова,sergeevauljana@ip.ru,+79680202067,ст. Шарья,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
492,Мельникова Майя Аскольдовна,sharapovanike@rao.info,8 (958) 797-68-85,г. Карабулак,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
493,Селиверст Глебович Кудрявцев,kozlovaekaterina@ao.biz,+79246885603,клх Юрьевец (Иван.),32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
511,Шарапов Парамон Давыдович,uignatov@rambler.ru,+79559350437,п. Усть-Ишим,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
522,Иванна Эдуардовна Осипова,hohlovemeljan@mail.ru,8 (989) 737-72-34,с. Балашиха,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
653,Октябрина Степановна Силина,julian_29@mironov.ru,,ст. Беломорск,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
654,Щербакова Светлана Рубеновна,noskovvisheslav@yahoo.com,,п. Темрюк,32.13.2024,,Invalid created_at date,,,,,,,,,,,,,,,,,,,,,,,
